"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/1980","137.15","129.18","138.96","128.19","276.71M","6.17%"
"11/02/1980","129.18","127.47","135.65","127.23","208.86M","1.34%"
"10/26/1980","127.47","129.85","129.94","125.29","191.10M","-1.83%"
"10/19/1980","129.85","131.52","134.01","128.04","225.44M","-1.27%"
"10/12/1980","131.52","130.29","135.88","129.37","237.82M","0.94%"
"10/05/1980","130.29","129.35","132.88","129.35","235.04M","0.74%"
"09/28/1980","129.33","125.41","130.44","122.87","229.09M","2.36%"
"09/21/1980","126.35","129.25","132.17","125.29","273.36M","-2.24%"
"09/14/1980","129.25","125.54","130.38","124.09","283.08M","2.96%"
"09/07/1980","125.54","124.88","126.75","121.94","229.89M","0.53%"
"08/31/1980","124.88","122.38","127.70","121.79","184.68M","2.04%"
"08/24/1980","122.38","126.02","126.29","121.06","194.50M","-2.89%"
"08/17/1980","126.02","125.28","127.78","121.91","235.36M","0.24%"
"08/10/1980","125.72","123.61","126.61","122.49","236.57M","1.71%"
"08/03/1980","123.61","121.21","125.23","119.42","252.79M","1.98%"
"07/27/1980","121.21","120.78","123.93","119.40","239.28M","0.36%"
"07/20/1980","120.78","122.04","123.90","119.94","219.54M","-1.03%"
"07/13/1980","122.04","117.84","123.19","117.45","262.45M","3.56%"
"07/06/1980","117.84","117.46","119.52","116.29","222.42M","0.32%"
"06/29/1980","117.46","116.00","117.80","113.54","154.43M","1.26%"
"06/22/1980","116.00","114.06","117.98","113.35","196.63M","1.70%"
"06/15/1980","114.06","115.81","117.16","113.12","194.95M","-1.51%"
"06/08/1980","115.81","113.20","117.01","112.68","211.83M","2.31%"
"06/01/1980","113.20","111.24","114.38","109.77","196.34M","1.76%"
"05/25/1980","111.24","110.62","112.72","108.87","156.21M","0.56%"
"05/18/1980","110.62","107.35","111.37","106.51","184.43M","3.05%"
"05/11/1980","107.35","104.72","107.99","103.50","177.35M","2.51%"
"05/04/1980","104.72","105.58","108.12","104.18","186.41M","-0.81%"
"04/27/1980","105.58","105.16","106.86","104.50","149.91M","0.40%"
"04/20/1980","105.16","100.55","105.57","98.95","182.48M","4.58%"
"04/13/1980","100.55","103.79","104.42","99.97","149.11M","-3.12%"
"04/06/1980","103.79","102.15","105.15","99.23","157.75M","1.61%"
"03/30/1980","102.15","100.68","103.87","100.02","131.25M","1.46%"
"03/23/1980","100.68","102.18","102.18","94.23","230.79M","-1.59%"
"03/16/1980","102.31","105.23","105.72","101.14","185.68M","-2.96%"
"03/09/1980","105.43","106.90","108.54","104.01","191.34M","-1.38%"
"03/02/1980","106.90","113.66","114.34","105.99","232.80M","-5.95%"
"02/24/1980","113.66","114.93","115.12","111.33","204.71M","-1.20%"
"02/17/1980","115.04","115.41","117.90","113.35","183.56M","-0.32%"
"02/10/1980","115.41","117.95","120.22","114.12","269.20M","-2.15%"
"02/03/1980","117.95","115.12","118.66","112.15","252.45M","2.46%"
"01/27/1980","115.12","113.61","117.17","112.93","272.78M","1.33%"
"01/20/1980","113.61","111.07","115.27","110.66","255.56M","2.29%"
"01/13/1980","111.07","109.92","112.90","109.34","274.27M","1.05%"
"01/06/1980","109.92","106.52","111.16","105.80","272.02M","3.19%"
"12/30/1979","106.52","107.84","108.53","103.26","161.75M","-1.22%"
"12/23/1979","107.84","107.59","108.61","106.80","109.95M","0.23%"
"12/16/1979","107.59","108.92","110.33","106.99","205.46M","-1.22%"
"12/09/1979","108.92","107.52","109.49","106.65","181.55M","1.30%"
"12/02/1979","107.52","106.16","109.24","105.07","181.72M","1.28%"
"11/25/1979","106.16","104.83","107.89","104.83","196.80M","1.42%"
"11/18/1979","104.67","103.79","105.13","102.04","128.42M","0.85%"
"11/11/1979","103.79","101.51","104.94","101.27","149.29M","2.25%"
"11/04/1979","101.51","102.51","102.66","99.42","129.59M","-0.98%"
"10/28/1979","102.51","100.57","103.21","100.13","128.94M","1.93%"
"10/21/1979","100.57","101.38","101.45","99.06","167.73M","-1.01%"
"10/14/1979","101.60","104.49","104.74","101.24","170.29M","-2.77%"
"10/07/1979","104.49","111.27","111.83","102.31","253.71M","-6.09%"
"09/30/1979","111.27","109.19","112.16","107.70","186.81M","1.78%"
"09/23/1979","109.32","110.47","111.25","108.27","172.96M","-1.04%"
"09/16/1979","110.47","108.76","111.58","107.32","209.21M","1.57%"
"09/09/1979","108.76","107.66","109.48","106.72","192.08M","1.02%"
"09/02/1979","107.66","109.32","109.41","105.38","139.69M","-1.52%"
"08/26/1979","109.32","108.60","109.84","108.12","147.96M","0.66%"
"08/19/1979","108.60","108.30","109.68","107.65","178.05M","0.28%"
"08/12/1979","108.30","106.40","109.18","106.28","207.65M","1.79%"
"08/05/1979","106.40","104.04","106.84","103.27","188.94M","2.27%"
"07/29/1979","104.04","103.10","105.02","102.42","165.45M","0.91%"
"07/22/1979","103.10","101.82","103.63","100.84","151.47M","1.26%"
"07/15/1979","101.82","102.32","103.20","100.35","149.98M","-0.49%"
